trimestre,CVEMET,zona_metro,acteco
2012-03-01,065,Irapuato,59478.5419639079
2012-03-01,066,Salamanca,43287.1561956896
2012-03-01,067,Uruapan,29739.5846528562
2012-03-01,068,San Juan del Río,37647.683895742
2012-03-01,069,Los Mochis,45906.1569045157
2012-03-01,070,Culiacán,95654.6126401289
2012-03-01,071,Mazatlán,64064.534211763
2012-03-01,072,Cd. Obregón,49509.5008084091
2012-03-01,073,Hermosillo,124755.318989734
2012-03-01,074,Cárdenas,52090.2045873699
2012-03-01,075,Cd. Victoria,46474.1188967166
2012-03-01,076,Chetumal,20106.7829566504
2012-03-01,077,Chilpancingo,20747.0026167142
2012-03-01,078,Moroleón,8523.25612670496
2012-06-01,001,Aguascalientes,148428.941729589
2012-06-01,002,Tijuana,192860.337732637
2012-06-01,003,Mexicali,151880.963854351
2012-06-01,004,La Laguna,256691.041392621
2012-06-01,005,Saltillo,122934.38524366
2012-06-01,006,Monclova,62367.9599976885
2012-06-01,007,Piedras Negras,40233.2375437329
2012-06-01,008,Colima,45080.6669979836
2012-06-01,009,Tecomán,10042.3439770503
2012-06-01,010,Tuxtla,97620.5796013967
2012-06-01,011,Juárez,231300.796297759
2012-06-01,012,Chihuahua,84532.5594904134
2012-06-01,013,CDMX,3492629.72217872
2012-06-01,014,León,187144.726612297
2012-06-01,015,San Francisco,19365.1187874316
2012-06-01,016,Acapulco,87520.2014747332
2012-06-01,017,Pachuca,66004.5263006064
2012-06-01,018,Tulancingo,22080.3465160615
2012-06-01,019,Tula,41588.1620625428
2012-06-01,020,Guadalajara,660401.694475855
2012-06-01,021,Puerto Vallarta,55474.8892783106
2012-06-01,022,Ocotlán,12317.0827373507
2012-06-01,023,Toluca,169539.567658804
2012-06-01,024,Morelia,100611.760425511
2012-06-01,025,Zamora,21268.8495758305
2012-06-01,026,Pénjamo,25209.5796649771
2012-06-01,027,Cuernavaca,89548.8966515565
2012-06-01,028,Cuautla,50014.9838632662
2012-06-01,029,Tepic,52099.2295714838
2012-06-01,030,Monterrey,910601.107559713
2012-06-01,031,Oaxaca,74177.7205480004
2012-06-01,032,Tehuantepec,33430.9572766829
2012-06-01,033,Puebla,313162.971158518
2012-06-01,034,Tehuacán,25467.0806161406
2012-06-01,035,Querétaro,220918.31316291
2012-06-01,036,Cancún,139457.99415068
2012-06-01,037,San Luis,183915.408615614
2012-06-01,038,Cd. Fernández,8687.96986024881
2012-06-01,039,Guaymas,36327.1045782324
2012-06-01,040,Villahermosa,207942.447646928
2012-06-01,041,Tampico,93406.2044706164
2012-06-01,042,Reynosa,133818.452264282
2012-06-01,043,Matamoros,71420.3454400502
2012-06-01,044,Nuevo Laredo,102593.508419201
2012-06-01,045,Tlaxcala,46905.3286930861
2012-06-01,046,Veracruz,145404.365350519
2012-06-01,047,Xalapa,77762.8757136956
2012-06-01,048,Poza Rica,54270.9081136732
2012-06-01,049,Orizaba,60539.5205536784
2012-06-01,050,Minatitlán,87096.0101633149
2012-06-01,051,Coatzacoalcos,119724.191657057
2012-06-01,052,Córdoba,23659.0309655842
2012-06-01,053,Mérida,170134.706095666
2012-06-01,054,Zacatecas,43446.3355230174
2012-06-01,055,Ensenada,59843.0054963709
2012-06-01,056,La Paz,53899.2974979592
2012-06-01,057,Los Cabos,39144.2778009184
2012-06-01,058,Campeche,261321.262368081
2012-06-01,059,Cd. del Carmen,252125.687364311
2012-06-01,060,Manzanillo,32181.4320071565
2012-06-01,061,Tapachula,21391.8653826353
2012-06-01,062,Durango,56832.6801629916
2012-06-01,063,Celaya,77688.4686279477
2012-06-01,064,Guanajuato,14475.8875653694
2012-06-01,065,Irapuato,60520.5488627598
2012-06-01,066,Salamanca,44317.6290563251
2012-06-01,067,Uruapan,29807.6965287609
2012-06-01,068,San Juan del Río,38563.7015671526
2012-06-01,069,Los Mochis,46741.0977057648
