"CVEMET","zona_met","nombre_corto","ent","CVEMUN","CVEENT"
27,"Cuernavaca","Cuernavaca","Morelos",17008,17
27,"Cuernavaca","Cuernavaca","Morelos",17009,17
27,"Cuernavaca","Cuernavaca","Morelos",17011,17
27,"Cuernavaca","Cuernavaca","Morelos",17018,17
27,"Cuernavaca","Cuernavaca","Morelos",17020,17
27,"Cuernavaca","Cuernavaca","Morelos",17024,17
27,"Cuernavaca","Cuernavaca","Morelos",17028,17
28,"Cuautla","Cuautla","Morelos",17002,17
28,"Cuautla","Cuautla","Morelos",17004,17
28,"Cuautla","Cuautla","Morelos",17006,17
28,"Cuautla","Cuautla","Morelos",17026,17
28,"Cuautla","Cuautla","Morelos",17029,17
28,"Cuautla","Cuautla","Morelos",17030,17
29,"Tepic","Tepic","Nayarit",18008,18
29,"Tepic","Tepic","Nayarit",18017,18
30,"Monterrey","Monterrey","Nuevo León",19006,19
30,"Monterrey","Monterrey","Nuevo León",19009,19
30,"Monterrey","Monterrey","Nuevo León",19010,19
30,"Monterrey","Monterrey","Nuevo León",19018,19
